ID_dylnet;niv_scol_A1;num_class_A1;niv_scol_A2;num_class_A2;niv_scol_A3;num_class_A3
ID-0001;MS;CL-14;GS;CL-25;;
ID-0002;GS;CL-16;;;;
ID-0003;GS;CL-17;;;;
ID-0004;MS;CL-13;GS;CL-27;;
ID-0005;MS;CL-14;;;;
ID-0006;GS;CL-15;;;;
ID-0007;MS;CL-13;GS;CL-27;;
ID-0008;MS;CL-15;GS;CL-27;;
ID-0009;PS;CL-11;MS;CL-23;;
ID-0010;GS;CL-17;;;;
ID-0011;MS;CL-14;GS;CL-26;;
ID-0012;GS;CL-16;;;;
ID-1013;ATSEM;CL-12;ATSEM;CL-26;ATSEM;CL-36
ID-0014;MS;CL-15;GS;CL-25;;
ID-0015;MS;CL-16;GS;CL-26;;
ID-0016;MS;CL-16;GS;CL-26;;
ID-0017;MS;CL-13;GS;CL-27;;
ID-0018;MS;CL-14;GS;CL-26;;
ID-0019;MS;CL-14;GS;CL-27;;
ID-0020;MS;CL-13;GS;CL-26;;
ID-0021;PS;CL-11;MS;CL-24;GS;CL-37
ID-0022;MS;CL-14;GS;CL-26;;
ID-0023;MS;CL-16;GS;CL-27;;
ID-1024;ENS;CL-13;;;;
ID-0025;MS;CL-15;GS;CL-25;;
ID-0026;MS;CL-15;GS;CL-27;;
ID-0027;MS;CL-16;GS;CL-26;;
ID-0028;MS;CL-15;GS;CL-27;;
ID-0029;GS;CL-17;;;;
ID-0030;MS;CL-14;GS;CL-26;;
ID-0031;MS;CL-14;GS;CL-25;;
ID-0032;MS;CL-14;GS;CL-27;;
ID-1033;ENS;CL-11;ENS;CL-21;ENS;CL-31
ID-1034;ENS;CL-14;ENS;CL-24;ENS;CL-34
ID-0035;GS;CL-16;;;;
ID-0036;GS;CL-16;;;;
ID-0037;MS;CL-16;GS;CL-27;;
ID-0038;GS;CL-15;;;;
ID-0039;PS;CL-11;MS;CL-23;GS;CL-35
ID-0040;MS;CL-15;GS;CL-25;;
ID-1041;ATSEM;CL-13;ATSEM;CL-22;ATSEM;CL-32
ID-0042;PS;CL-13;MS;CL-24;GS;CL-37
ID-1043;ENS;CL-12;ENS;CL-26;;
ID-0044;MS;CL-13;GS;CL-26;;
ID-0045;MS;CL-13;GS;CL-26;;
ID-0046;MS;CL-16;GS;CL-26;;
ID-0047;MS;CL-15;GS;CL-25;;
ID-0048;GS;CL-17;;;;
ID-0049;MS;CL-14;GS;CL-27;;
ID-0050;GS;CL-17;;;;
ID-0051;MS;CL-14;GS;CL-26;;
ID-0052;MS;CL-14;GS;CL-26;;
ID-0053;MS;CL-16;GS;CL-27;;
ID-0054;MS;CL-13;GS;CL-26;;
ID-1055;ATSEM;CL-17;ATSEM;CL-27;ATSEM;CL-37
ID-0056;MS;CL-14;GS;CL-25;;
ID-1057;ENS;CL-16;ENS;CL-25;ENS;CL-35
ID-1057;ENS;CL-16;ENS;CL-25;ENS;CL-35
ID-0058;MS;CL-14;GS;CL-27;;
ID-0059;MS;CL-14;;;;
ID-0060;GS;CL-17;;;;
ID-0061;MS;CL-14;;;;
ID-0062;MS;CL-16;GS;CL-27;;
ID-0063;PS;CL-11;MS;CL-24;GS;CL-35
ID-0064;MS;CL-15;;;;
ID-0065;MS;CL-13;GS;CL-27;;
ID-0066;MS;CL-15;GS;CL-27;;
ID-1067;ATSEM;CL-16;ATSEM;CL-25;ATSEM;CL-35
ID-0068;MS;CL-15;GS;CL-25;;
ID-0069;GS;CL-16;;;;
ID-0070;MS;CL-13;GS;CL-26;;
ID-0071;MS;CL-16;GS;CL-26;;
ID-0072;PS;CL-12;MS;CL-24;GS;CL-35
ID-1073;ATSEM;CL-11;ATSEM;CL-21;ATSEM;CL-31
ID-0074;MS;CL-16;GS;CL-27;;
ID-0075;MS;CL-15;GS;CL-25;;
ID-0076;MS;CL-13;;;;
ID-0077;MS;CL-16;;;;
ID-0078;MS;CL-16;GS;CL-26;;
ID-0079;MS;CL-15;;;;
ID-0080;GS;CL-17;;;;
ID-0081;GS;CL-16;;;;
ID-0082;MS;CL-14;GS;CL-26;;
ID-0083;MS;CL-14;GS;CL-27;;
ID-0084;GS;CL-17;;;;
ID-1085;ATSEM;CL-14;ATSEM;CL-24;ATSEM;CL-34
ID-0086;GS;CL-17;;;;
ID-0087;GS;CL-15;;;;
ID-0088;PS;CL-12;MS;CL-23;GS;CL-37
ID-0089;MS;CL-13;GS;CL-27;;
ID-0090;GS;CL-17;;;;
ID-0091;GS;CL-17;;;;
ID-0092;PS;CL-11;MS;CL-24;GS;CL-37
ID-0093;MS;CL-16;GS;CL-27;;
ID-0094;GS;CL-17;;;;
ID-1095;ENS;CL-12;;;;
ID-1095;ENS;CL-17;;;;
ID-0096;GS;CL-17;;;;
ID-0097;PS;CL-11;MS;CL-24;GS;CL-36
ID-1098;ATSEM;CL-15;ATSEM;CL-23;;
ID-0099;GS;CL-16;;;;
ID-0100;GS;CL-17;;;;
ID-0101;MS;CL-13;;;;
ID-0102;MS;CL-14;GS;CL-27;;
ID-0103;MS;CL-13;GS;CL-26;;
ID-0104;MS;CL-14;GS;CL-27;;
ID-0105;GS;CL-17;;;;
ID-1106;OTHER;CL-18;OTHER;CL-28;OTHER;CL-38
ID-0107;GS;CL-17;;;;
ID-0108;MS;CL-13;GS;CL-25;;
ID-0109;PS;CL-11;MS;CL-23;GS;CL-37
ID-0110;PS;CL-11;MS;CL-24;;
ID-0111;PS;CL-12;MS;CL-24;GS;CL-37
ID-0112;PS;CL-11;MS;CL-24;GS;CL-36
ID-0113;MS;CL-14;GS;CL-25;;
ID-0114;PS;CL-12;MS;CL-24;GS;CL-37
ID-0115;PS;CL-11;;;;
ID-0116;PS;CL-12;MS;CL-23;GS;CL-36
ID-0117;PS;CL-12;MS;CL-23;GS;CL-36
ID-0118;PS;CL-11;MS;CL-25;GS;CL-37
ID-0119;PS;CL-11;MS;CL-25;GS;CL-37
ID-1120;ENS;CL-15;;;;
ID-0121;PS;CL-12;MS;CL-24;GS;CL-37
ID-0122;PS;CL-11;MS;CL-24;GS;CL-35
ID-0123;PS;CL-11;MS;CL-25;GS;CL-36
ID-0124;PS;CL-12;;;;
ID-0125;PS;CL-12;MS;CL-23;GS;CL-35
ID-0126;PS;CL-11;MS;CL-23;GS;CL-36
ID-0127;PS;CL-12;MS;CL-24;GS;CL-37
ID-0128;PS;CL-12;MS;CL-24;GS;CL-37
ID-0129;GS;CL-15;;;;
ID-0130;PS;CL-12;;;;
ID-0131;PS;CL-11;MS;CL-25;GS;CL-36
ID-0132;PS;CL-12;;;;
ID-0133;PS;CL-11;MS;CL-24;GS;CL-36
ID-0134;GS;CL-17;;;;
ID-0135;GS;CL-17;;;;
ID-0136;GS;CL-15;;;;
ID-0137;GS;CL-17;;;;
ID-0138;MS;CL-15;GS;CL-25;;
ID-0139;GS;CL-17;;;;
ID-0140;MS;CL-13;GS;CL-26;;
ID-0141;GS;CL-17;;;;
ID-1142;ENS;CL-15;;;;
ID-0143;GS;CL-17;;;;
ID-0144;PS;CL-12;MS;CL-23;GS;CL-36
ID-0145;GS;CL-17;;;;
ID-0146;MS;CL-15;GS;CL-27;;
ID-0147;PS;CL-11;MS;CL-25;GS;CL-36
ID-0148;GS;CL-17;;;;
ID-0149;MS;CL-13;GS;CL-25;;
ID-0150;MS;CL-15;GS;CL-27;;
ID-0151;PS;CL-11;MS;CL-24;GS;CL-37
ID-1152;ENS;CL-17;ENS;CL-27;ENS;CL-37
ID-0153;GS;CL-17;;;;
ID-0154;PS;CL-11;MS;CL-23;;
ID-0155;GS;CL-15;;;;
ID-0156;PS;CL-12;MS;CL-24;GS;CL-36
ID-0157;MS;CL-13;GS;CL-25;;
ID-0158;GS;CL-16;;;;
ID-0159;PS;CL-11;MS;CL-23;GS;CL-36
ID-1160;ENS;CL-13;;;;
ID-0161;MS;CL-14;;;;
ID-0162;GS;CL-15;;;;
ID-0163;MS;CL-14;GS;CL-25;;
ID-0164;MS;CL-14;GS;CL-27;;
ID-1165;ENS;CL-13;;;;
ID-0166;MS;CL-16;GS;CL-27;;
ID-0167;PS;CL-11;MS;CL-23;GS;CL-35
ID-0168;PS;CL-13;MS;CL-24;GS;CL-35
ID-0169;MS;CL-14;;;;
ID-0170;PS;CL-12;MS;CL-23;GS;CL-36
ID-0171;GS;CL-17;;;;
ID-0172;MS;CL-13;GS;CL-26;;
ID-0173;PS;CL-12;MS;CL-24;;
ID-0174;PS;CL-12;MS;CL-24;GS;CL-35
ID-0175;PS;CL-13;MS;CL-25;GS;CL-37
ID-0176;PS;CL-12;MS;CL-24;;
ID-0177;MS;CL-16;GS;CL-26;;
ID-0178;MS;CL-14;GS;CL-25;;
ID-0179;PS;CL-12;MS;CL-25;GS;CL-37
ID-1180;OTHER;CL-18;;;;
ID-1181;STAG;CL-17;;;;
ID-1182;STAG;CL-17;;;;
ID-1183;STAG;CL-12;;;;
ID-1184;STAG;CL-12;;;;
ID-0185;PS;CL-12;MS;CL-25;;
ID-1186;STAG;CL-12;;;;
ID-0187;PS;CL-13;MS;CL-24;GS;CL-36
ID-1188;STAG;CL-12;;;;
ID-0189;PS;CL-13;MS;CL-25;GS;CL-37
ID-0190;MS;CL-16;GS;CL-26;;
ID-0191;GS;CL-15;;;;
ID-1192;ATSEM;CL-15;;;;
ID-1193;STAG;CL-17;;;;
ID-1194;STAG;CL-17;;;;
ID-1195;STAG;CL-11;;;;
ID-1196;STAG;CL-11;;;;
ID-0197;PS;CL-11;MS;CL-25;GS;CL-37
ID-0198;MS;CL-14;;;;
ID-1199;ATSEM;CL-15;;;;
ID-0200;GS;CL-15;;;;
ID-1201;STAG;CL-11;;;;
ID-1202;OTHER;CL-18;;;;
ID-1203;OTHER;CL-18;OTHER;CL-28;;
ID-1204;ATSEM;CL-15;;;;
ID-1205;ATSEM;CL-15;;;;
ID-0206;MS;CL-14;GS;CL-26;;
ID-1207;;;ENS;CL-26;;
ID-1207;;;ENS;CL-27;;
ID-0208;;;PS;CL-22;MS;CL-33
ID-0209;;;PS;CL-21;MS;CL-35
ID-0210;;;PS;CL-21;MS;CL-33
ID-0211;;;PS;CL-21;MS;CL-34
ID-0212;;;PS;CL-23;MS;CL-34
ID-0213;PS;CL-12;MS;CL-23;GS;CL-37
ID-0214;;;PS;CL-21;MS;CL-33
ID-0215;;;PS;CL-21;MS;CL-35
ID-0216;;;PS;CL-22;MS;CL-33
ID-0217;;;PS;CL-21;MS;CL-34
ID-0218;;;PS;CL-21;MS;CL-33
ID-0219;;;PS;CL-22;MS;CL-35
ID-0220;;;PS;CL-21;;
ID-0221;;;GS;CL-26;;
ID-0222;;;PS;CL-21;MS;CL-35
ID-0223;;;PS;CL-22;MS;CL-33
ID-0224;;;PS;CL-21;MS;CL-33
ID-0225;;;PS;CL-21;MS;CL-34
ID-0226;;;PS;CL-21;MS;CL-34
ID-0227;;;PS;CL-22;MS;CL-33
ID-0228;;;PS;CL-21;MS;CL-35
ID-0229;;;PS;CL-21;MS;CL-35
ID-0230;;;PS;CL-22;MS;CL-34
ID-0231;;;PS;CL-22;MS;CL-34
ID-0232;;;MS;CL-24;GS;CL-36
ID-0233;;;PS;CL-22;MS;CL-33
ID-0234;;;PS;CL-22;MS;CL-33
ID-0235;;;PS;CL-22;MS;CL-34
ID-0236;;;PS;CL-22;MS;CL-33
ID-0237;;;PS;CL-22;MS;CL-34
ID-0238;;;PS;CL-22;MS;CL-35
ID-1239;;;ENS;CL-23;ENS;CL-33
ID-0240;;;PS;CL-23;MS;CL-34
ID-0241;;;PS;CL-21;MS;CL-34
ID-0242;;;PS;CL-22;MS;CL-34
ID-0243;;;MS;CL-23;GS;CL-36
ID-1244;;;AVS;CL-21;;
ID-0245;;;MS;CL-23;GS;CL-37
ID-0246;;;PS;CL-21;MS;CL-35
ID-0247;;;PS;CL-22;MS;CL-33
ID-0248;;;PS;CL-23;;
ID-0249;;;PS;CL-21;MS;CL-34
ID-0250;;;PS;CL-21;MS;CL-33
ID-0251;;;PS;CL-22;MS;CL-34
ID-0252;;;PS;CL-21;MS;CL-34
ID-0253;;;PS;CL-22;MS;CL-34
ID-0254;;;PS;CL-21;MS;CL-34
ID-0255;;;PS;CL-22;MS;CL-33
ID-0256;;;MS;CL-23;GS;CL-37
ID-0257;PS;CL-11;MS;CL-23;GS;CL-37
ID-0258;;;PS;CL-21;;
ID-0259;;;PS;CL-23;MS;CL-34
ID-1260;;;ENS;CL-22;;
ID-0261;;;PS;CL-21;MS;CL-33
ID-0262;;;GS;CL-26;;
ID-0263;;;PS;CL-21;;
ID-0264;;;PS;CL-21;;
ID-0265;;;PS;CL-21;MS;CL-34
ID-0266;;;MS;CL-24;;
ID-0267;;;MS;CL-25;GS;CL-36
ID-1268;;;ATSEM;CL-23;;
ID-1269;;;ENS;CL-23;;
ID-0270;;;PS;CL-21;MS;CL-33
ID-0271;;;PS;CL-21;MS;CL-33
ID-1272;;;ENS;CL-28;;
ID-1273;;;OTHER;CL-28;;
ID-1274;;;ENS;CL-26;ENS;CL-36
ID-0275;;;PS;CL-22;MS;CL-33
ID-0276;;;MS;CL-23;GS;CL-37
ID-1277;;;ATSEM;CL-23;;
ID-1278;;;ENS;CL-23;;
ID-1279;;;AVS;CL-21;;
ID-1280;;;AVS;CL-21;AVS;CL-35
ID-1281;;;ATSEM;CL-23;;
ID-0282;;;MS;CL-23;GS;CL-36
ID-0283;;;PS;CL-22;MS;CL-34
ID-1284;;;ATSEM;CL-23;;
ID-1285;;;ATSEM;CL-23;;
ID-1286;;;STAG;CL-26;;
ID-1287;;;ENS;CL-28;;
ID-0288;;;;;PS;CL-31
ID-0289;;;;;PS;CL-31
ID-0290;;;;;PS;CL-32
ID-0291;;;;;PS;CL-31
ID-0292;;;;;PS;CL-32
